Mês,País Importado,Produto,Via,FOB (US$)
2,Coreia do Sul,Plásticos e suas obras,MARITIMA,11414907
8,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,11397949
11,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,11372540
10,Argentina,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",RODOVIARIA,11318028
2,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,11253450
1,Malásia,Borracha e suas obras,MARITIMA,11241090
9,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,11218998
9,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,11216917
7,China,Borracha e suas obras,MARITIMA,11210828
1,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,11191490
11,Catar,Adubos (fertilizantes),MARITIMA,11185250
10,China,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",MARITIMA,11172628
2,China,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,11140482
11,Alemanha,Plásticos e suas obras,MARITIMA,10977014
11,México,Cobre e suas obras,MARITIMA,10964093
8,Argélia,Adubos (fertilizantes),MARITIMA,10884966
3,Argentina,Alumínio e suas obras,MARITIMA,10876624
1,Coreia do Sul,Plásticos e suas obras,MARITIMA,10834706
10,Argentina,"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos",RODOVIARIA,10780335
12,China,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",MARITIMA,10752432
4,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,10728930
5,China,Alumínio e suas obras,MARITIMA,10664210
10,Estados Unidos,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,10625814
3,Alemanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,10610561
8,China,"Obras de ferro fundido, ferro ou aço",MARITIMA,10605797
8,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,10574115
11,China,Alumínio e suas obras,MARITIMA,10547878
7,Argentina,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",RODOVIARIA,10545868
8,Chile,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",RODOVIARIA,10475822
5,Alemanha,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,10457402
11,Chile,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",RODOVIARIA,10374521
11,China,"Vestuário e seus acessórios, exceto de Malha",MARITIMA,10364023
4,China,"Vestuário e seus acessórios, exceto de Malha",MARITIMA,10310820
11,China,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",MARITIMA,10205122
7,Colômbia,Plásticos e suas obras,MARITIMA,10195030
8,Argentina,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",RODOVIARIA,10153799
9,Estados Unidos,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,10152707
3,Índia,Filamentos sintéticos ou artificiais,MARITIMA,10104145
12,Suécia,"Ferro fundido, ferro e aço",MARITIMA,10083693
6,Catar,Adubos (fertilizantes),MARITIMA,10070663
4,China,Produtos farmacêuticos,AEREA,10034757
8,Argentina,Alumínio e suas obras,MARITIMA,10018626
9,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",AEREA,10012759
8,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,9998586
10,China,"Vestuário e seus acessórios, exceto de Malha",MARITIMA,9983313
7,China,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",MARITIMA,9973215
3,Argentina,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",RODOVIARIA,9906091
3,Malásia,Borracha e suas obras,MARITIMA,9892903
3,Indonésia,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,9892726
2,Malásia,Borracha e suas obras,MARITIMA,9850872
11,Argentina,"Preparações de produtos hortícolas, de frutas ou de outras partes de plantas",RODOVIARIA,9846805
10,Catar,Adubos (fertilizantes),MARITIMA,9830602
2,Índia,Filamentos sintéticos ou artificiais,MARITIMA,9786345
2,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,9703954
4,Colômbia,Plásticos e suas obras,MARITIMA,9694560
1,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,9693532
7,China,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",MARITIMA,9643495
7,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,9637521
10,China,Tecidos de malha,MARITIMA,9607417
12,Alemanha,Plásticos e suas obras,MARITIMA,9602665
7,China,Filamentos sintéticos ou artificiais,MARITIMA,9556986
11,Coreia do Sul,Plásticos e suas obras,MARITIMA,9548177
7,Argentina,Plásticos e suas obras,MARITIMA,9489866
2,Portugal,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,MARITIMA,9440895
6,China,Borracha e suas obras,MARITIMA,9415527
4,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,9395205
4,Argentina,Alumínio e suas obras,MARITIMA,9299354
3,China,"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios",MARITIMA,9274417
12,China,Obras diversas de metais comuns,MARITIMA,9270293
2,Indonésia,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,9250991
7,Chile,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",RODOVIARIA,9237324
5,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,9231219
10,Argentina,"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",RODOVIARIA,9208092
5,China,"Vestuário e seus acessórios, de malha",MARITIMA,9204628
3,Turquia,Adubos (fertilizantes),MARITIMA,9198503
